refDate,reporterISO,reporterDesc,flowDesc,partnerDesc,cmdCode,cmdDesc,qtyUnitAbbr,qty,isQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,primaryValue,value_per_unit
2024-10-01,CHE,Switzerland,Import,World,710811,"Metals; gold, non-monetary, powder",kg,1.289,True,1.289,True,0.0,False,18111.993,14051.197051978277
2024-10-01,CHE,Switzerland,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,153879.932,True,153879.932,True,0.0,False,7550413704.577,49066.91604579731
2024-10-01,CHE,Switzerland,Import,World,710813,"Metals; gold, semi-manufactured",kg,1407.886,True,1407.886,True,0.0,False,79756101.792,56649.54534102903
2024-10-01,THA,Thailand,Import,World,284330,Gold compounds,kg,285.115,True,285.115,True,0.0,False,9318987.549,32685.013236764113
2024-10-01,THA,Thailand,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,12136.232,True,12136.232,True,0.0,False,1037567284.024,85493.36268654061
2024-10-01,TTO,Trinidad and Tobago,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,3.0,False,3.0,False,0.0,False,66646.705,22215.568333333333
2024-10-01,TTO,Trinidad and Tobago,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,1.0,False,1.0,False,0.0,False,14049.755,14049.755
2024-10-01,TTO,Trinidad and Tobago,Import,World,710813,"Metals; gold, semi-manufactured",kg,2.0,False,2.0,False,0.0,False,52596.95,26298.475
2024-10-01,TUR,Türkiye,Import,World,284330,Gold compounds,kg,4.376,False,35.0,False,0.0,False,254559.0,58171.61791590493
2024-10-01,TUR,Türkiye,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,21432.896,False,21443.0,False,0.0,False,1739463920.0,81158.60404492235
2024-10-01,USA,USA,Import,World,284330,Gold compounds,kg,42.0,False,42.0,False,0.0,False,185723.0,4421.976190476191
2024-10-01,USA,USA,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,15284.812,True,15284.812,True,0.0,False,1115860206.0,73004.5097054514
